Spanish	Russian
exagerar	преувеличивать
decidir	решить, решать
invitar	пригласить, приглашать
hola!	привет!
aparecer	появляться, появиться
el milagro	чудо
ninguno	никакой
creer	верить, думать
la librería	книжный магазин
aceptar	согласиться, соглашаться
el mayor	больший, самый большой
cansado	усталый, утомленный
recorrer	осматривать, проезжать, пробегать
la culpa	вина, прегрешение
el ejemplo	пример
guapo	красивый
la vida	жизнь
en general	вообще, в общем
la mujer	женщина
simpático	симпатичный
probablemente	вероятно, правдоподобно
la belleza	красота
distinto	различный, отличный
hace un momento	минуту тому назад
con el mayor gusto	с большим удовольствием
como siempre	как всегда
no es mi culpa	я не виноват
por ejemplo	например
en general	вообще
