Spanish	Russian
recibir	получать, получить
el regalo	подарок
vestirse	одеться
cubrirse	надеть, покрыть, накинуть, покрыть часть тела чем-то
se cubrió con un sombrero	накрылся шляпой, накинул шляпу
allí	там
de allí	оттуда
trasladarse	переходить
el establo	хлев, коровник
mugir	мычать, замычать
débilmente	слабо
lo cual	что, то что
poner	класть, положить
el sobresalto	внезапный страх
negarse	отказываться. отказаться
el brazo	рука, рука от плеча до локтя
acercar	приблизить, приближать
llevar	переносить, выдержать
confesar	признаться, признаваться
poquito	немного, немножко
el miedo	страх, боязнь
el carnero	баран
declarar	объявлять, заявлять
temer	бояться
jamás	никогда
sentir	чувствовать
el amor	любовь
la veneración	уважение
el departamento	помещение
la oveja	овца
avanzar	выдвигать вперед, протягивать
retirar	брать, взять назад, отвести, одернуть, отводить
manifestar	открыто проявлять, заявлять
el cambio	обмен, изменения
el gallo	петух
tratar	обходиться, относиться, обращаться, стремиться, стараться, лечить
la confianza	доверие
el gallinero	курятник
la bravura	мужество, храбрость
el rabo	хвост
formalmente	формально
grave	серьезный
el sultan	султан
chillar	визжать, кричать
tal	так
horrísono	зловещий, ужасный (звук)
la manera	способ
la muerte	смерть
penetrar	проникнуть
apresurarse	торопиться, спешить
soltar	выпускать, выпустить
agarrar	схватить, вцепиться
el cuello	шея
volvió del trabajo	он вернулся с работы
vuelvo a leer	я снова читаю
volví a leer	я снова прочитал
volveré a leer	я снова прочитаю
no llevarlas todas consigo	не быть уверенным в себе
tener miedo	бояться
en cambio	взамен, вместо, зато
no tener inconveniente en	не иметь ничего против, не возражать
el frío de la muerte	холод смерти
tras los cuales	за которыми
sin la cual	без которой
por el cual	через которого
la fiera	дикое животное
por último	наконец, наконец-то
por el rabo	за хвост
por fuerza	силой
por orden alfabético	в алфавитном порядке

