Spanish	Russian
varias	несколько
la carta	письмо
prometer	обещать
mandar	посылать, приказывать
recoger	отобрать, собирать
el rollo	ролик
revelar	проявить, проявить фотопленку
reconocer	узнавать, распознавать
en seguida que	как только
bajar	сойти
el tren	поезд
preocuparse	беспокоиться
seriamente	серьезно
apenas	едва, как только
parar	задержаться, остановиться
saludar	приветствовать, здороваться
ahora	сейчас
parecer	казаться
divertirse	развлекаться, веселиться
de modo	в способ
extraordinario	необыкновенный
ya	уже
hoy mismo	сегодня же
amable	приятный, любезный
la acogida	прием, приём
ya es tarde	уже поздно
debo irme	я должен идти
tengo que ir	нужно идти, мне нужно идти
se acuerda Vd.?	вы помните?
gracias a ...	благодаря ...
en seguida que	как только
seriamente	серьезно
apenas	едва, как только
hace mucho tiempo	давно уже
hasta pronto	до скорого, до свидания

