Spanish	Russian
a guisa de	как, в качестве, наподобие, вроде
por segunda vez	второй раз
vaya	да ну, ну и, так вот
gruñir	ворчать, роптать
el dinero	деньги
la palanca	рычаг
la pausa	пауза, остановка, молчание
disparar	стрелять, выстрелить, выпалить
la frase	фраза, предложение
inapelable	окончательный
el hambre	голод
el medio	середина, половина
en medio	по середине
la guisa	способ, образ действия
el préstamo	заём
agitarse	суетиться, метаться
la sillón	кресло
acariciar	гладить, погладить
la barbilla	подбородок
fruncir	морщить, хмурить (брови)
inclinarse	наклониться
el ventanal	окно (большое)
contemplar	наблюдать, оказывать внимание, созерцать
iluminado	озарять
feliz	счастливый, удачный
la lucha	борьба
luchar	бороться
robar	красть, воровать
resignarse	покоряться, смириться
dispensar	извинять, прощать
remediar	помогать, оказывать помощь
el mes	месяц
el gasto	расход, издержка
jurar	клясться, присягать
encontrarse	находиться, встречаться, сталкиваться
la escalera	лестница
la crisis	кризис, перелом
el dolor	боль
la lágrima	слеза
convertirse	превращаться
la furia	ярость, бешенство
sacar	вынимать
el bolsillo	карман
subir	подниматься
doncella	девушка-служанка
el sitio	место
visible	видимый, явный, видный
la razón	разум, правота
convencer	убеждать
la libra esterlina	фунт стерлингов
la vitrina	стеклянный шкаф, витрина
