Spanish	Russian
precioso	прелестный
pasear	гулять
la capital	столица
el almacén	магазин, супермаркет
la zapatería	обувной магазин
la camisería	бельевой магазин
el café	кафе
el bar	бар
general	общий, основной
mismo	тот же, такой же
la corbata	галстук
el traje	одежда, костюм
la chaqueta	жакет, пиджак
la americana	куртка
la camisa	сорочка, рубашка
algo distintos	немного отличающиеся, иные
la boina	берет
la gorra	шапка
la visera	козырек
vestir	носить, одеваться
visten	носят, одеваются
la parte	часть, сторона
la iglesia	костел, церковь
tocado	украшенный
el velo	шарф на голову, кружевной шарф, тюлевый шарф
presenciar	присутствовать
la salida	выход
la modistilla	модистка
derrochar	расточать, рассеивать
la gracia	очарование
el andar	походка
menudo	мелкий, маленький
saleroso	грациозный
inconfundible	неповторяемый, несравнимый
madrileño	мадридский
la Semana Santa	святая неделя, страстная неделя
lucir	выделяться, блистать
la mantilla	тюлевый шарф
colocado	умещенный, расположенный, закрепленный
la peineta	гребень
la concha	перламутр, конча
algo	кое-что
la línea	линия
numeroso	многочисленный
el tranvía	трамвай
el taxi	такси
el barrio	район
moderno	современный
el viejo	старый, старинный
interesante	интересный
típico	типичный
estrecho	узкий
torcido	кривой, извилистый
la plaza	площадь
célebre	известный
la fuente	фонтан
llamado	называемый
admirar	восхищаться
imponente	внушительный, величественный
el monumento	монумент, памятник
es precioso	это прелестно
por lo general	вообще
lo mismo que	так же как
algo distinto	что-то другое, отличающееся
en todas partes	везде, во всех частях мира
sin embargo	однако
por	благодаря
