Spanish	Russian
ojalá	хотя, хоть бы, хотя бы
quizás	может быть, наверное, пожалуй
cansado	усталый, утомленный
mientras	пока, между тем, в то время как
la cena	ужин
la rima	рифма, стихи
el honor	честь, почет
traer	приносить, принести
agotado	изтощенный, изнуренный
el tesoro	сокровище, склад
enmudecer	неметь, умолкать
la lira	лира
la onda	волна
el beso	поцелуй
palpitar	биться, пульсировать, трепетать, дрожать
encendido	горящий, заженный
desgarrado	разорванный, растерзанный
nublar	покрыть тучами, затянуть облаками
el fuego	огонь, пламя
el oro	золото
vestir	одевать, одеть, украшать
el aire	ветер, воздух, атмосфера
el regazo	лоно
el perfume	запах, аромат
la armonía	гармония, взаимопонимание
la ciencia	знание, наука
descubrir	открывать, делать открытие
alcanzar	достигать, добиваться
la fuente	источник, фонтан
el mar	море
el abismo	пропасть, бездна
el cálculo	вычисление, расчет
resistir	сопротивляться, давать отпор
la humanidad	человечество
avanzando	идущий вперед
caminar	идти
el misterio	тайна, таинственность
sentirse	чувствовать, ощущать себя
el labio	губа, уста
reir	смеяться, радоваться
el llanto	плач, стон
acudir	торопиться, быстро приходить, часто посещать
la pupila	зрачок
batallar	сражаться
proseguir	продолжать
suspirar	вздыхать
confundido	смешивать, соединять
existir	существовать, жить
