Spanish	Russian
el consejo	совет, совещание
cómico	комический, смешной
el favor	одолжение, милость
permitir	позволять, разрешать
atacar	атаковать, нападать
el paludismo	малярия
oscilar	колебаться
la desesperación	отчаяние, безнадежность
la fiebre	лихорадка, высокая температура, горячка
cuarenta	сорок
vagar	бродить, блуждать
entero	целый, весь
nadie	никто
el céntimo	сентимо
el consuelo	утеха, утешение
la caída	падение, наступление
rendido	усталый, изнуренный
meterse	соваться, входить
el domicilio	жилище, квартира
antiguo	старый
solicitar	просить, ходатайствовать
el socorro	помощь, поддержка
enfrentarse	встретиться, стать лицом к лицу
el despacho	контора, кабинет
traer	приносить, носить
eso es	да
corroborar	утверждать
murmurar	шептать, бормотать
