Español	Ruso
el botón	пуговица
detrás	сзади
formidable	ужасный, страшный
el estampido	шум, крик, сильный звук, звук выстрела
alto!	стой!
volverse	вернуться, повернуться
movido	приведенный в движение, побуждаемый
el resorte	пружина
frente a	перед, напротив
secuaestrar	похищать, лишать свободы
el silencio	тишина
el terror	страх
clavado	пригвожденный, пригвожденный к месту
rígido	застывший, окоченелый
el bandido	бандит
el miserable	негодяй, подлец
ardiente	жгучий, пламенный
devorar	пожирать, поглощать, уничтожать
entonces	тогда
pálido	бледный
adelantar	идти, выступить, идти вперед
el paso	шаг
decir	сказать
cerrar	закрывать
pensar	думать, считать, полагать
que estaría	что будет
borrado	вычеркнутый
vivo	живой
fue	стал, был
así	так, таким образом
la fortuna	счастье
la curiosidad	любопытство
querer	любить, хотеть, желать
prohibir	запрещать, запретить
alejarse	удаляться
tapar	закрывать
la cara	лицо
sollozar	рыдать
rápidamente	быстро
llorar	плакать
el hijo	сын
la hija	дочь, дочка
sorprendido	удивленный, пораженный
demudarse	меняться в лице
acercar	приближаться, подойти
separar	разделить, отнимать, отнять
enjugar	вытирать, вытирать пот, вытирать слезы
la lágrima	слеза
el pañuelo	платок, носовой платок
abrazar	обнимать
besar	целовать
perdona!	извини!, прости!
está bien	хорошо, пусть
por fortuna	на счастье, к счастью
a uno en pos de otro	одного за другим
otra vez	снова, следующий раз
de quién eres?	чей ты?
volver la cabeza	повернуть голову

