Spanish	Russian
la reunión	собрание
el esperantista	эсперант
Londres	Лондон
el relojero	часовщик
inglés	англичанин, английский
delgado	тонкий, худой, изящный
usar	носить, употреблять
la barbita	бородка
llevar	брать с собой, носить, вести, уводить
las gafas	очки
la óptica	оптика
la relojería	часовая мастерская
el barrio	район
reunirse	собираться
el grupo	группа
detrás	сзади
la salita	маленький зал
gran	огромный, большой
más	больше, более
diferente	различный, разнообразный, разный
el sofá	диван
cojo	хромой, шатающийся
insignificante	навзрачный, незначительный
alguien	кто-нибудь
venir	приходить, придти
presentar	рекомендовать, представлять
merecer	заслуживать
la confianza	доверие
polaco	поляк, польский
el periodista	журналист
español	испанский, испанец
el fotógrafo	фотограф
francés	француз, французский
alemán	немецкий, немец
ruso	русский
chino	китаец, китайский
recitar	читать произведение, читать
el cuento	рассказ, сказка
escrito	написанный
aplaudir	аплодировать
la discusión	дискуссия
el doctor	доктор
la señorita	девушка
danés	датчанин, датский
tocar	играть на музыкальном инструменте, играть
cantar	петь
divertido	смешной
prolongarse	продолжаться
la medianoche	полночь
