Español	Ruso
la comida	обед
casa de huéspedes	пансион, меблированные комнаты
querido	дорогой
pues	поэтому, итак
hacer	сделать
citar	цитировать
citado	цитированные
el precio	цена
dar	давать, предоставлять
el cuarto	комната
la luz	свет, освещение
opíparo	обильный, чудесный, прекрасный
el almuerzo	второй завтрак
variado	разнообразный
en cuanto a	относительно, а что касается
la materia	содержание
variar	меняться
infinitamente	бесконечно, беспрерывно
la forma	форма
cada	каждый, любой, всякий
el huesped	гость, постоялец
almorzar	есть второй завтрак, обедать
el par	два, пара
el huevo	яйцо
la naranja	апельсин
u	или
la jicarita	чашечка
rico	вкусный
el chocolate	шоколад
la variación	разнообразие
el modo	способ, вид
preparar	приготавливать
frito	жареный
ya ... ya	или ... или
los huevos revueltes	яичница
el tomate	помидор
el huevo pasado por agua	яйцо всмятку
la tortilla	омлет
espléndido	прекрасный
la sopa	суп
el puchero	похлебка (густой суп с говядиной и овощами)
la morcilla	кровяная колбаса (с рисом и луком)
el tocino	свиное сало
la abundancia	изобилие, множество
por último	наконец
el principio	мясное блюдо
después	после того, потом
el postre	десерт
unos días más tarde	несколько дней спустя
he aquí	вот, вот здесь, тут
en vez de	вместо
en cuanto a	относительно, что касается
por último	наконец
una naranja u otra fruta	апельсин и другой фрукт

