Español	Ruso
la cita	свидание
pasar	провести время, переходить
el balneario	курорт
regresar	вернуться
sano	здоровый
fuerte	сильный
saludar	здороваться
en seguida	сейчас же, тотчас
escaparse	бежать, убежать
adónde?	куда?
adonde	куда, там, туда
bueno	хороший, добрый, хорошо
contar	рассказывать
durante	во время
la ausencia	отсутствие
pues	итак
estudiar	учиться
ayudar	помогать
pensar	думать
temprano	рано
comprar	купить
arreglar	убирать, делать порядок, наводить порядок
ya	уже
saber	знать, узнать, уметь
nada	ничего
bien	хорошо, ладно
solamente	только, лишь
el mumullo	шум, шепот
el cielo	небо
el porvenir	будущее
o	или
perdonar	простить, извинить
Adónde vas?	Куда ты идешь?
dirante la comida	во время обеда
mientras comía	во время приема пищи, когда ел
en seguida	сейчас же
de la case	из дому
nada más	ничего больше
perdóneme	извините меня
vigésimo	двадцатый
trigésimo	тридцатый
cuadragésimo	сороковый
quincuagésimo	пятидесятый
sexagésimo	шестидесятый
septuagésimo	семидесятый
octogésimo	восьмидесятый
nonagésimo	девяностый
centésimo	сотый
cien árboles	сто деревьев

