Español	Ruso
la hora	пора, время
pasear	гулять, прогуливаться
escribit	писать, написать
escribe!	напиши!
escribid!	напишите!
comer	есть
come!	ешь!
comed!	ешьте!
basta	довольно, достаточно
de improviso	вдруг, неожиданно
la mañana	утро, завтра
el sol	солнце
loco	сумасшедший, безумный
querer	хотеть
quiero	хочу
gustar	нравиться
dormir	спать
si	если
el maestro	учитель
para	чтобы
pero	но, только, однако
que	что
la ciudad	город
escuchar	слушать
escuchad!	послушайте
expresar	выражать
cómo	как
la palabra	слово
sencillo	простой, обыкновенный, обычный
el encanto	прелесть, волшебство
la cosa	предмет, вещь
el palacio	дворец, замок
el jardín	парк, сад
cierto	определенный, несомненный
levantarse	вставать, подниматься
levantaos!	встаньте!
la luz	свет, источник света
reflejar	отражать
la claridad	сияние, явность, свет
desconcido	незнакомый, неизвестный
el árbol	дерево
poseer	обладать, владеть
la tonalidad	оттенок
el color	цвет
la línea	линия
otro	другой
ver	видеть
vemos	видим
ser	быть
estrecho	узкий, тесный
torcido	кривой, запутанный
formado	образованный
viejo	старый
alto	высокий
lleno	полный, переполненный
la tienda	лавка, магазин
el piso bajo	нижний этаж
trece	тринадцать
desconocido	неведомый, неизвестный
el vaso	стакан

